estado,monto
Al día,2500
Al día,5600
Al día,5375
Al día,5000
Al día,21000
Al día,12500
Al día,8200
Al día,17500
Al día,18825
Al día,28000
Al día,13475
Al día,20000
Al día,21000
Al día,26000
Al día,7000
Al día,16000
Al día,11875
Al día,30000
Al día,18000
Al día,20000
Al día,9000
Al día,20000
Al día,15000
Al día,6000
Al día,20000
Al día,18000
Al día,8000
Al día,35000
Al día,12000
Al día,4000
Al día,8000
Al día,24000
Al día,28000
Al día,16000
Al día,24500
Al día,12375
Al día,20675
Al día,20500
Al día,29000
Al día,8250
Al día,35000
Al día,16000
Al día,12000
Al día,22250
Al día,8200
Al día,15000
Al día,15700
Al día,35000
Al día,12000
Al día,13000
Al día,10400
Al día,12000
Al día,16400
Al día,30000
Al día,12000
Al día,10000
Al día,19000
Al día,24000
Al día,18800
Al día,17475
Al día,34475
Al día,10050
Al día,35000
Al día,17000
Al día,21000
Al día,12000
Al día,17500
Al día,35000
Al día,12200
Al día,25000
Al día,17000
Al día,10000
Al día,30000
Al día,22750
Al día,5000
Al día,22800
Al día,7000
Al día,3600
Al día,14000
Al día,4000
Al día,20000
Al día,25000
Al día,6000
Al día,30000
Al día,15000
Al día,23000
Al día,12000
Al día,24000
Al día,23600
Al día,25000
Al día,7875
Al día,35000
Al día,7000
Al día,15850
Al día,35000
Al día,35000
Al día,12000
Al día,29700
Al día,24000
Al día,19750
Al día,35000
Al día,25975
Al día,24000
Al día,15000
Al día,35000
Al día,19075
Al día,25000
Al día,12000
Al día,28000
Al día,35000
Al día,20000
Al día,5000
Al día,12000
Al día,16000
Al día,17625
Al día,24000
Al día,19400
Al día,22000
Al día,35000
Al día,15000
Al día,5800
Al día,12500
Al día,20000
Al día,17000
Al día,25000
Al día,6600
Al día,22250
Al día,24000
Al día,15000
Al día,12000
Al día,15000
Al día,8000
Al día,20000
Al día,35000
Al día,18000
Al día,30000
Al día,35000
Al día,12000
Al día,21000
Al día,18825
Al día,20450
Al día,24000
Al día,18000
Al día,15000
Al día,35000
Al día,5500
Al día,20000
Al día,12000
Al día,5050
Al día,12000
Al día,20000
Al día,19000
Al día,12600
Al día,26300
Al día,18800
Al día,20000
Al día,14400
Al día,15000
Al día,3200
Al día,21600
Al día,17000
Al día,20000
Al día,18400
Al día,16800
Al día,25000
Al día,35000
Al día,20000
Al día,18800
Al día,20200
Al día,21000
Al día,30000
Al día,8000
Al día,18000
Al día,30000
Al día,30000
Al día,8900
Al día,35000
Al día,14000
Al día,14825
Al día,18000
Al día,24575
Al día,12000
Al día,27000
Al día,12000
Al día,12000
Al día,35000
Al día,24000
Al día,35000
Al día,17400
Al día,18000
Al día,10800
Al día,17600
Al día,20000
Al día,18000
Al día,16500
Al día,18650
Al día,12000
Al día,30000
Al día,23000
Al día,15000
Al día,22900
Al día,35000
Al día,21000
Al día,13200
Al día,6850
Al día,20000
Al día,12000
Al día,21000
Al día,35000
Al día,35000
Al día,24000
Al día,20000
Al día,14400
Al día,12000
Al día,6000
Al día,12800
Al día,16950
Al día,10600
Al día,18225
Al día,12000
Al día,20000
Al día,24000
Al día,26000
Al día,15000
Al día,20000
Al día,20000
Al día,14300
Al día,20000
Al día,16000
Al día,20000
Al día,25000
Al día,35000
Al día,15875
Al día,14000
Al día,18250
Al día,22575
Al día,12000
Al día,6400
Al día,20000
Al día,14500
Al día,35000
Al día,17500
Al día,35000
Al día,20000
Al día,14400
Al día,12000
Al día,22125
Al día,24000
Al día,9300
Al día,18550
Al día,35000
Al día,25500
Al día,35000
Al día,17750
Al día,15000
Al día,18550
Al día,6350
Al día,13000
Al día,35000
Al día,27600
Al día,24000
Al día,35000
Al día,12000
Al día,15000
Al día,15000
Al día,30000
Al día,12000
Al día,35000
Al día,12400
Al día,4000
Al día,18000
Al día,30000
Al día,20000
Al día,22000
Al día,18000
Al día,25450
Al día,20000
Al día,30000
Al día,20000
Al día,35000
Al día,25000
Al día,12000
Al día,14125
Al día,12150
Al día,9000
Al día,4800
Al día,26000
Al día,30000
Al día,7100
Al día,10950
Al día,12000
Al día,14675
Al día,17600
Al día,35000
Al día,35000
Al día,12000
Al día,10000
Al día,12350
Al día,18400
Al día,35000
Al día,15000
Al día,20000
Al día,17050
Al día,12850
Al día,34000
Al día,5000
Al día,11625
Al día,21725
Al día,18000
Al día,14000
Al día,12000
Al día,12000
Al día,15000
Al día,21750
Al día,16000
Al día,8000
Al día,14500
Al día,5850
Al día,16000
Al día,35000
Al día,12000
Al día,35000
Al día,17500
Al día,14000
Al día,8400
Al día,14000
Al día,35000
Al día,18825
Al día,12000
Al día,22000
Al día,14000
Al día,15000
Al día,5500
Al día,13800
Impago,35000
Al día,18000
Al día,15000
Al día,9500
Al día,27575
Al día,35000
Al día,25000
Al día,15000
Al día,18000
Al día,25000
Al día,21000
Al día,20000
Al día,1500
Al día,14000
Al día,27400
Al día,7000
Al día,20000
Al día,15350
Al día,19425
Al día,10400
Al día,12000
Al día,24000
Al día,12000
Al día,14000
Al día,20000
Al día,10000
Al día,24000
Al día,35000
Al día,25450
Al día,19400
Al día,3600
Al día,18000
Al día,3000
Al día,14000
Al día,20400
Al día,13100
Al día,25000
Al día,20000
Al día,6450
Al día,7200
Al día,31000
Al día,35000
Al día,34000
Al día,13000
Al día,30000
Al día,35000
Al día,12000
Al día,35000
Al día,12000
Al día,18200
Al día,21000
Al día,35000
Al día,30000
Al día,30750
Al día,16400
Al día,18000
Al día,35000
Al día,35000
Al día,35000
Al día,15000
Al día,25000
Al día,19200
Al día,16000
Al día,13200
Al día,25000
Al día,16000
Al día,20000
Al día,35000
Al día,21800
Al día,19200
Al día,20000
Al día,30000
Al día,6250
Al día,17000
Al día,5200
Al día,10000
Al día,18000
Al día,12000
Al día,21250
Al día,16000
Al día,16000
Al día,24000
Al día,14400
Al día,24000
Al día,10400
Al día,20000
Al día,15000
Al día,16300
Al día,11725
Al día,16500
Al día,26500
Al día,12000
Al día,12000
Al día,15250
Al día,30000
Al día,35000
Al día,14000
Al día,35000
Al día,15600
Al día,11200
Al día,17000
Al día,24000
Al día,6350
Al día,16000
Al día,7925
Al día,22400
Al día,12000
Al día,16000
Al día,18225
Al día,12000
Al día,14000
Al día,35000
Al día,30000
Al día,22750
Al día,1500
Al día,25000
Al día,32350
Al día,4000
Al día,14000
Al día,11000
Al día,21000
Al día,25000
Al día,25875
Al día,15250
Al día,19500
Al día,12500
Al día,21725
Al día,3600
Al día,4000
Al día,2200
Al día,15000
Al día,14400
Al día,4000
Al día,24000
Al día,17325
Al día,20000
Al día,10400
Al día,18000
Al día,12000
Al día,29700
Al día,12000
Al día,30000
Al día,25000
Al día,14750
Impago,2500
Al día,25000
Al día,9600
Al día,35000
Al día,20500
Al día,20000
Al día,12000
Al día,18000
Al día,12000
Al día,15000
Al día,35000
Al día,12000
Al día,35000
Al día,25000
Al día,25200
Al día,12900
Al día,26850
Al día,12600
Al día,15000
Al día,35000
Al día,28000
Al día,30000
Al día,12000
Al día,20000
Al día,13150
Al día,30000
Al día,20950
Al día,20000
Al día,5100
Al día,25000
Al día,16000
Al día,10400
Al día,14000
Al día,30000
Al día,21000
Al día,30000
Al día,6400
Al día,12000
Al día,30000
Al día,35000
Al día,12000
Al día,15000
Al día,2300
Al día,19200
Al día,24000
Al día,18000
Al día,12600
Al día,14400
Al día,17500
Al día,3600
Al día,31000
Al día,14075
Al día,12000
Al día,10000
Al día,14000
Al día,20000
Al día,21200
Al día,15000
Al día,12200
Al día,4000
Al día,20000
Al día,14300
Al día,32400
Al día,15000
Al día,30000
Al día,20000
Al día,12600
Al día,4800
Al día,2500
Al día,14300
Al día,15000
Al día,32000
Al día,35000
Al día,35000
Al día,15250
Al día,15000
Al día,18000
Al día,25000
Al día,20000
Al día,19000
Al día,13250
Al día,13500
Al día,20000
Al día,25000
Al día,13200
Al día,16950
Al día,13000
Al día,12900
Al día,15000
Al día,35000
Al día,13250
Al día,12000
Al día,14000
Al día,18000
Al día,13600
Al día,15000
Al día,18250
Al día,22000
Al día,16800
Al día,12000
Al día,20000
Al día,20000
Al día,7600
Al día,17800
Al día,30800
Al día,35000
Al día,30000
Al día,16200
Al día,15575
Al día,14400
Al día,13800
Al día,35000
Al día,7600
Al día,25000
Al día,13500
Al día,21000
Al día,12000
Al día,35000
Al día,15000
Al día,24000
Al día,8000
Al día,12000
Al día,22000
Al día,5200
Al día,21000
Al día,25000
Al día,31200
Al día,3000
Al día,21000
Al día,12000
Al día,18825
Al día,35000
Al día,20950
Al día,16400
Al día,30000
Al día,12500
Al día,33500
Al día,22750
Al día,35000
Al día,18800
Al día,22000
Al día,4000
Al día,30000
Al día,5000
Al día,30000
Al día,21000
Al día,14000
Al día,30000
Al día,13225
Al día,16800
Al día,22000
Al día,20000
Al día,5100
Al día,30000
Al día,18000
Al día,8000
Al día,35000
Al día,20000
Al día,5975
Al día,35000
Al día,14500
Al día,10000
Al día,2600
Al día,25000
Al día,3000
Al día,11300
Al día,12000
Al día,9175
Al día,13650
Al día,14000
Al día,7750
Al día,8450
Al día,14675
Al día,10000
Al día,12000
Al día,4000
Al día,3000
Al día,7750
Al día,15875
Al día,20000
Al día,17000
Al día,15000
Al día,20000
Al día,6000
Al día,35000
Al día,5800
Al día,15000
Al día,11200
Al día,12000
Al día,26375
Al día,15600
Al día,7950
Al día,4800
Al día,35000
Al día,14675
Al día,15000
Al día,6400
Al día,6100
Al día,20250
Al día,20000
Al día,35000
Al día,25000
Al día,12300
Al día,15000
Al día,33950
Al día,35000
Al día,23000
Al día,8000
Al día,20700
Al día,21600
Al día,25000
Al día,6500
Al día,20000
Al día,19600
Al día,17000
Al día,19475
Al día,26000
Al día,12000
Al día,10000
Al día,20500
Al día,25000
Al día,11200
Al día,6000
Al día,15000
Al día,3975
Al día,21725
Al día,13475
Al día,20000
Al día,12400
Al día,25000
Al día,20000
Al día,14000
Al día,17000
Al día,14125
Al día,7000
Al día,12400
Al día,15250
Al día,16000
Al día,20000
Al día,9525
Al día,35000
Al día,35000
Al día,14000
Al día,27200
Al día,35000
Al día,25000
Al día,12000
Al día,14000
Al día,6950
Al día,5000
Al día,10000
Al día,18000
Al día,22600
Al día,14000
Al día,16000
Al día,20000
Al día,22000
Al día,22750
Al día,25000
Al día,11625
Al día,20000
Al día,27500
Al día,12000
Al día,12000
Al día,24650
Al día,12000
Al día,2100
Al día,25000
Al día,15000
Al día,12800
Al día,18000
Al día,12000
Al día,12000
Al día,22250
Al día,16000
Al día,8450
Al día,18000
Al día,13700
Al día,35000
Al día,35000
Al día,11200
Al día,12000
Al día,21000
Al día,8125
Al día,16000
Al día,22000
Al día,15000
Al día,21725
Al día,24000
Al día,12000
Al día,3500
Al día,7600
Al día,14000
Al día,35000
Al día,16000
Al día,11900
Al día,24575
Al día,25000
Al día,16000
Al día,12000
Al día,10000
Al día,26250
Al día,18225
Al día,25000
Al día,13500
Al día,7800
Al día,11000
Al día,28200
Al día,28000
Al día,24000
Al día,5400
Al día,17000
Al día,12000
Al día,7800
Al día,14000
Al día,3000
Al día,20000
Al día,20375
Al día,10875
Al día,5000
Al día,12175
Al día,11725
Al día,25000
Al día,16000
Al día,15000
Al día,12000
Al día,12000
Al día,8000
Al día,25000
Al día,12000
Al día,32000
Al día,10800
Al día,15000
Al día,31825
Al día,25500
Al día,8325
Al día,12000
Al día,30000
Al día,30000
Al día,30000
Al día,10800
Al día,14125
Al día,5750
Al día,16000
Al día,35000
Al día,25000
Al día,1500
Al día,12800
Al día,15500
Al día,13600
Al día,12000
Al día,12000
Al día,25000
Al día,35000
Al día,16950
Al día,12225
Al día,20000
Al día,28000
Al día,12000
Al día,20000
Al día,22400
Al día,18000
Al día,12000
Al día,16000
Al día,16000
Al día,25000
Al día,3250
Al día,12000
Al día,14300
Al día,22750
Al día,12000
Impago,23275
Al día,35000
Al día,10050
Al día,35000
Al día,25000
Al día,12000
Al día,25975
Al día,21000
Al día,12000
Al día,15000
Al día,6450
Al día,10000
Al día,25000
Al día,14400
Al día,8000
Al día,12000
Al día,24000
Al día,9600
Al día,18000
Al día,16800
Al día,14075
Al día,18000
Al día,27000
Al día,16000
Al día,15000
Al día,12000
Al día,25475
Al día,10000
Al día,35000
Al día,26500
Al día,8000
Al día,20000
Al día,4800
Al día,20000
Al día,12000
Al día,35000
Al día,20000
Al día,16000
Al día,26375
Al día,35000
Al día,12000
Al día,30000
Al día,18550
Al día,15550
Al día,22000
Al día,18000
Al día,25000
Al día,33000
Al día,21000
Al día,7000
Al día,3500
Al día,12925
Al día,7800
Al día,4000
Al día,10000
Al día,29000
Al día,35000
Al día,12000
Al día,12000
Al día,32000
Al día,12000
Al día,20000
Al día,12325
Al día,7000
Al día,18000
Al día,28000
Al día,30225
Al día,15400
Al día,12600
Al día,12800
Al día,13175
Al día,4600
Al día,21600
Al día,8400
Al día,16000
Al día,6000
Al día,12000
Al día,17000
Al día,5000
Al día,13725
Al día,19200
Al día,18000
Al día,1000
Al día,14400
Al día,8000
Al día,10000
Al día,20000
Al día,3600
Al día,6000
Al día,16000
Al día,20000
Al día,25000
Al día,35000
Al día,30000
Al día,25000
Al día,12250
Al día,15000
Al día,18000
Al día,18500
Al día,10000
Al día,8400
Al día,18000
Al día,7500
Al día,17000
Al día,15000
Al día,9000
Al día,20000
Al día,6000
Al día,20000
Al día,9000
Al día,4600
Al día,12000
Al día,16000
Al día,24000
Al día,6000
Al día,15000
Al día,13725
Al día,11000
Al día,35000
Al día,13750
Al día,17000
Al día,6800
Al día,8000
Al día,25975
Al día,11400
